1906	3	2	43	80	331	7.3
1906	3	3	2	-90	696	6.8
1906	3	16	23.6	120.4	244	6.8
1906	4	10	20	-110	53	7.2
1906	4	13	23.6	120.4	244	7.1
1906	4	13	23.6	120.4	244	6.9
1906	4	18	38	-123	35	7.8
1906	6	1	0	145	614	7.1
1906	6	19	20	122	248	7.1
1906	6	24	15	92	319	7.3
1906	8	17	51	179	6	7.8
1906	8	17	-33	-72	134	8.2
1906	8	19	-33	-72	134	6.9
1906	8	25	9	39	558	6.8
1906	8	26	-4	149	203	7
1906	8	30	-21	-70	122	7.1
1906	8	31	27	97	294	6.7
1906	9	7	34	141	229	7
1906	9	14	-7	149	192	8
1906	9	17	-4	149	203	6.8
1906	9	28	-2	-79	105	7.5
1906	10	2	-4	149	203	7.2
1906	10	8	52.5	154.5	220	6.7
1906	10	17	19	121	248	7.3
1906	10	24	40	68	714	6.9
1906	10	24	36.5	68	718	6.8
1906	11	14	-25	172	189	6.9
1906	11	19	-22	109	589	7.2
1906	12	3	15	-61	92	7.2
1906	12	18	-19	-172	174	6.8
1906	12	19	-19	-172	174	7.2
1906	12	22	43.5	85	332	7.2
1906	12	23	56.85	-153.9	13	7.2
1906	12	26	-20	-73	121	7
1907	1	2	-21.1	-175.1	173	7.3
1907	1	4	2	94.5	705	7.5
1907	1	8	-65	-30	156	6.9
1907	2	3	-6	148	192	7.2
1907	2	6	29	139	211	6.9
1907	3	26	38	135	660	6.8
1907	3	29	3	122	262	7.2
1907	3	31	-18	-177	181	7.2
1907	4	13	36.5	70.5	718	6.8
1907	4	15	17	-100	59	7.9
1907	4	18	14	123	249	7.1
1907	4	18	13.5	123	249	7
1907	5	4	-7.5	153.7	192	7.7
1907	5	4	28	141	212	6.9
1907	5	7	-2.8	144.5	198	6.8
1907	5	25	50.5	148	663	7.4
1907	6	1	0	-82	104	7
1907	6	5	0	-86	696	7
1907	6	13	-39.5	-73	135	6.8
1907	6	25	1	127	267	7.5
1907	6	27	-3	170	632	6.8
1907	7	5	43.7	145.5	224	6.8
1907	7	9	14	123	249	7
1907	7	20	7.1	125.6	259	6.8
1907	8	17	52	157	217	7.2
1907	9	2	52	173	5	7.3
1907	10	11	-15	167	186	6.9
1907	10	16	28	-112.5	49	7.2
1907	10	21	38	69	715	7.2
1907	11	21	5.9	95.3	706	6.8
1907	12	2	40.1	142.3	228	6.7
1907	12	15	-3.1	142.5	200	6.9
1907	12	23	43.8	145	224	6.9
1907	12	25	36.5	70.5	718	6.8
1907	12	30	12.1	-86.3	75	7.2
1908	1	11	23	121.1	244	6.8
1908	1	15	37.3	141.8	228	7.3
1908	2	9	26	100	318	7.3
1908	3	5	9	126	259	6.9
1908	3	26	18	-99	59	7.7
1908	3	27	17	-101	58	7
1908	4	16	36.5	70.5	718	6.8
1908	4	19	42	134	661	6.9
1908	4	22	-38	48	428	7
1908	5	3	43	146.5	221	6.5
1908	5	5	3	123	262	6.9
1908	5	15	59	-141	19	7
1908	5	17	35	24	370	6.8
1908	8	17	-60	-40	150	7.2
1908	8	20	32	89	306	7
1908	9	21	19	-155	613	6.8
1908	10	6	45.5	26.5	358	6.8
1908	10	13	18	-102	57	6.9
1908	10	23	36.5	70.5	718	6.9
1908	10	24	36.5	70.5	718	7
1908	11	2	-2	97	273	6.9
1908	11	6	45	150	221	6.9
1908	12	12	-14	-78	114	8.2
1908	12	12	26.5	97	296	7
1908	12	28	38	15.5	398	7.2
1909	1	23	33	53	348	7
1909	2	9	40	38	366	6.8
1909	2	22	-18	-179	181	7.6
1909	2	26	5	-95	693	7.1
1909	3	10	30.5	130.5	235	6.5
1909	3	12	34.5	141.5	229	7.1
1909	3	13	34.5	141.5	229	7.6
1909	3	17	30.5	137.5	211	6.7
1909	3	17	-2	121	268	6.9
1909	3	22	35	141.5	228	6.6
1909	4	10	-15	167	186	6.9
1909	4	10	77.5	128	655	6.8
1909	4	10	52	175	6	7
1909	4	14	25	122.5	243	7.1
1909	4	25	4	127	263	7.1
1909	4	27	0	147	614	7.1
1909	4	29	-35	53	428	6.8
1909	5	17	-20	-64	125	7
1909	5	30	-8	131	281	7.1
1909	6	3	-2	101	274	7.2
1909	6	8	-26.5	-70.5	122	7.2
1909	6	12	-19	170	186	6.9
1909	6	27	-10	162	193	6.8
1909	7	7	36.5	70.5	718	7.6
1909	7	30	17	-100.5	59	7.6
1909	7	31	17	-100.5	59	6.9
1909	8	4	28.8	90.5	306	6.5
1909	8	14	35.4	136.3	232	6.7
1909	8	16	10	-84	78	6.8
1909	8	18	-22	172	189	7.2
1909	9	8	52.5	-169	9	7
1909	9	10	28	129	238	6.8
1909	9	16	42	142	224	6.8
1909	10	20	30	68	710	7
1909	10	30	-6	131	281	6.9
1909	10	31	8	-105	63	6.9
1909	11	10	32.3	131.1	235	7.5
1909	11	21	25.5	122	243	7.3
1909	12	9	-8	161	193	7
1909	12	9	12	144.5	210	6.8
1910	1	1	16.5	-84	94	7.1
1910	1	8	35	122	665	6.8
1910	1	22	67.5	-17	637	6.9
1910	1	23	12	-60.5	95	6.9
1910	1	30	-22	170	189	7
1910	2	3	-17	168	186	6.8
1910	2	4	-17	168	186	7
1910	2	12	33	138	211	7.2
1910	2	18	36	24.5	368	6.9
1910	3	30	-21	170	189	7.1
1910	3	31	-71	-6	729	7.1
1910	4	12	25	123	245	7.6
1910	4	20	-20	-177	181	7
1910	5	1	-20	169	186	7.1
1910	5	13	57	-160	11	6.8
1910	5	22	44	148	221	6.9
1910	5	31	10	-105	63	7
1910	6	1	-20	169	186	7.3
1910	6	1	-20	169	186	7.1
1910	6	9	30	139	211	6.7
1910	6	16	-19	169.5	186	7.9
1910	6	17	21	121	243	6.8
1910	6	29	-32	-176	179	7.2
1910	6	29	-28	-178	177	6.9
1910	7	7	-12	108	588	6.8
1910	7	12	37	76	321	6.8
1910	7	29	-5	143	202	6.9
1910	8	5	42	-127	30	6.8
1910	8	21	-17	-179	181	7.4
1910	9	1	21	122	243	7
1910	9	1	24	122	243	6.8
1910	9	6	-25	-70	122	7.1
1910	9	7	-6	151	192	7.2
1910	9	9	51.5	-176	7	7
1910	9	24	17	-96	60	6.9
1910	10	4	-22	-69	123	7.2
1910	11	6	53	-135	21	6.8
1910	11	9	-16	166	186	7.5
1910	11	10	-14	166.5	186	7.1
1910	11	14	24.5	122	243	7
1910	11	15	-58	-22	153	7.2
1910	11	26	-14	167	186	7.2
1910	11	29	25	125	246	6.9
1910	12	4	-10	140	208	6.8
1910	12	10	-11	162.5	193	7.2
1910	12	13	-8	31	572	7.6
1910	12	14	-21	-178	181	7.2
1910	12	16	4.5	126.5	263	7.6
1911	1	1	38	66	714	6.8
1911	1	3	43.5	77.5	330	7.8
1911	2	18	40	73	716	7.2
1911	2	23	27	128	238	7.1
1911	3	6	6	126	259	6.8
1911	3	24	24	123	246	6.8
1911	4	4	36.5	25.5	369	7
1911	4	10	9	-74	99	7
1911	4	18	32	56	348	6.7
1911	4	28	0	-71	103	6.9
1911	5	4	51	157	218	7.4
1911	6	7	17.5	-102.5	56	7.6
1911	6	15	28	130	238	8.1
1911	7	0	28.5	97.5	313	6.5
1911	7	1	37.25	-121.75	39	6.5
1911	7	4	36	70.5	718	7.4
1911	7	5	-7.5	117.5	278	7
1911	7	11	-14	167	186	6.9
1911	7	12	9	126	259	7.5
1911	7	19	-29	-179	177	6.9
1911	8	16	7	137	209	7.7
1911	8	21	-21	-176	181	7.2
1911	8	27	17	-96	60	6.8
1911	9	6	46	143	662	7
1911	9	12	-23	172.5	189	6.8
1911	9	15	-20	-72	121	7.1
1911	9	17	51	180	6	7.1
1911	9	22	60.5	-149	14	6.9
1911	10	6	19	-70.5	88	6.8
1911	10	14	31	80.5	306	6.8
1911	10	20	-12.5	166	184	7
1911	10	29	11	-101	63	6.8
1911	11	8	34.5	140.5	228	6.5
1911	11	13	52	173	5	6.9
1911	11	21	39	136	223	6.6
1911	11	22	-15	169	186	7.3
1911	12	16	17	-100.5	59	7.6
1911	12	31	-2	143.5	198	6.8
1912	1	4	52	-179	7	6.7
1912	1	24	38	20.5	364	6.8
1912	1	31	61	-147.5	2	7
1912	3	25	-18	169	186	6.9
1912	4	25	36.5	70.5	718	6.8
1912	5	6	64	-20	638	7
1912	5	11	-9	72	426	6.8
1912	5	13	57	162	218	6.8
1912	5	23	21	97	296	7.7
1912	6	8	40.5	142	228	6.8
1912	6	10	59	-153	2	6.9
1912	6	12	17	-89	62	6.8
1912	7	7	64	-147	1	7.2
1912	7	9	3	33	568	6.8
1912	7	24	-5	-80	109	7
1912	7	24	31	137.5	211	6.6
1912	8	6	-14	167	186	7.3
1912	8	9	40.5	27	366	7.6
1912	8	17	4	127	263	7.2
1912	8	23	36.5	70.5	718	6.8
1912	9	1	-4.5	155	193	7
1912	9	29	7	138	209	7.5
1912	10	18	54.6	179.2	3	7.1
1912	10	26	14	146	216	7
1912	10	31	7	138	209	6.9
1912	11	7	57.5	-155	12	7.3
1912	11	19	19	-100	57	6.9
1912	12	5	57.5	-154	13	6.9
1912	12	7	-29	-62.5	132	7.3
1912	12	8	39	143.5	229	6.6
1912	12	9	15.5	-93	69	7.1
1912	12	23	0	123	265	6.7
1912	12	24	24	121.6	244	6.5
1913	1	7	23.8	121.7	247	6.7
1913	1	8	23.8	121.7	244	6.5
1913	1	11	1.5	122	265	7.2
1913	1	19	1	88	420	6.9
1913	1	19	46	151	221	6.9
1913	2	14	-9	162	193	6.8
1913	2	20	41	144	224	7
1913	3	3	28	129	238	6.8
1913	3	14	4.5	126.5	263	7.9
1913	3	23	24	142	213	7.1
1913	3	31	51	-179	7	6.9
1913	4	2	32	132	236	6.7
